ssid,address,frequency,channel
,16:11:32:B6:87:7C,2.447 GHz,8
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
NTU,00:0B:86:96:69:02,2.462 GHz,11
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
dcs405A,B0:6E:BF:3E:C6:B8,2.447 GHz,8
BUFFALO-22AE0C,4C:E6:76:22:AE:0C,2.462 GHz,11
eduroam,00:0B:86:96:59:A0,2.412 GHz,1
MD501,04:8D:38:04:4E:86,2.412 GHz,1
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
ntu_peap,00:0B:86:96:62:61,2.412 GHz,1
test2_2.4G,00:11:32:B6:7C:1E,2.462 GHz,11
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
ntuiot,00:11:32:B6:87:7C,2.447 GHz,8
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
MD520,0C:80:63:03:D2:D6,2.437 GHz,6
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
,16:11:32:9D:30:3A,2.432 GHz,5
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
ntu_peap,00:0B:86:96:62:61,2.412 GHz,1
MD625_2G,04:D9:F5:12:66:50,2.437 GHz,6
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
MD_323,00:1D:AA:0F:AC:F8,2.432 GHz,5
ntuiot,00:11:32:B6:87:7C,2.447 GHz,8
