name,sample,x,y,z,timestamp,00:0B:86:96:63:A0,00:0B:86:96:70:C2,00:11:32:9D:2B:30,00:11:32:9D:30:3A,00:11:32:AD:8C:82,00:11:32:AD:8E:B7,00:11:32:B6:7A:7F,00:1A:1E:F3:67:A0,04:8D:38:04:4E:86,0C:9D:92:02:8B:20,16:11:32:9D:2B:30,16:11:32:9D:30:3A,40:B0:76:34:03:48,44:A5:6E:41:9B:BA,6C:F3:7F:31:FA:22,B8:A3:86:57:17:67,DC:FB:02:61:9E:31
wlan0,0,1.1,1.52,1.01,1621514026.208447,-62.0,-48.0,-35.0,-25.0,-27.0,-50.0,-49.0,0.0,-59.0,-27.0,-35.0,0.0,0.0,0.0,-68.0,-62.0,-50.0
wlan0,1,1.1,1.52,1.01,1621514030.3666053,-55.0,-46.0,-33.0,-24.0,-27.0,-49.0,-49.0,-69.0,-59.0,-25.0,-35.0,-25.0,-55.0,-54.0,-68.0,-62.0,-51.0
wlan0,2,1.1,1.52,1.01,1621514034.515772,-60.0,-45.0,-40.0,-25.0,-55.0,-50.0,-49.0,-70.0,-55.0,-26.0,-38.0,-25.0,-55.0,-54.0,-68.0,-62.0,-51.0
wlan0,3,1.1,1.52,1.01,1621514038.6544414,-65.0,-60.0,-37.0,-28.0,-27.0,-49.0,-57.0,-70.0,-57.0,-26.0,-40.0,-25.0,-55.0,-57.0,-71.0,-65.0,-49.0
wlan0,4,1.1,1.52,1.01,1621514046.7956655,-65.0,-53.0,-40.0,-26.0,-27.0,-49.0,-48.0,-70.0,-58.0,-25.0,-39.0,-25.0,-55.0,-58.0,-71.0,-59.0,-53.0
wlan1,0,1.1,1.52,1.01,1621514053.396345,-67.0,-45.0,-45.0,-39.0,0.0,-61.0,-59.0,-83.0,-61.0,-41.0,-45.0,0.0,-67.0,0.0,-81.0,-75.0,-57.0
wlan1,1,1.1,1.52,1.01,1621514057.8622,-67.0,-45.0,-45.0,-39.0,-39.0,-63.0,-59.0,-89.0,-61.0,-41.0,-45.0,-37.0,-67.0,-77.0,-81.0,-81.0,-59.0
wlan1,2,1.1,1.52,1.01,1621514062.3613107,-67.0,-57.0,-43.0,-37.0,-39.0,-59.0,-61.0,-87.0,-61.0,-43.0,-45.0,-37.0,-67.0,-77.0,-81.0,-81.0,-59.0
wlan1,3,1.1,1.52,1.01,1621514066.859383,-65.0,-59.0,-45.0,-39.0,-41.0,-59.0,-59.0,-85.0,-61.0,-41.0,-45.0,-39.0,-67.0,-77.0,-83.0,-75.0,-57.0
wlan1,4,1.1,1.52,1.01,1621514071.3879876,-65.0,-59.0,-43.0,-39.0,-41.0,-61.0,-59.0,-89.0,-67.0,-41.0,-45.0,-37.0,-67.0,-77.0,-81.0,-81.0,-57.0
